河南联通,#genre#
河南卫视高清,http://182.123.211.191:12345/rtp/225.1.4.98:1127
河南都市频道高清,http://182.123.211.191:12345/rtp/225.1.4.52:1081
河南民生频道,http://182.123.211.191:12345/rtp/225.1.4.53:1082
河南法治频道,http://182.123.211.191:12345/rtp/225.1.4.54:1083
河南电视剧频道高清,http://182.123.211.191:12345/rtp/225.1.4.55:1084
河南新闻频道,http://182.123.211.191:12345/rtp/225.1.4.56:1085
河南欢腾购物,http://182.123.211.191:12345/rtp/225.1.4.57:1086
河南公共频道高清,http://182.123.211.191:12345/rtp/225.1.4.58:1087
河南乡村频道,http://182.123.211.191:12345/rtp/225.1.4.120:1149
河南国际频道,http://182.123.211.191:12345/rtp/225.1.4.102:1131
睛彩中原,http://182.123.211.191:12345/rtp/225.1.4.163:1203
移动戏曲,http://182.123.211.191:12345/rtp/225.1.4.206:1254
河南文物宝库,http://182.123.211.191:12345/rtp/225.1.4.100:1129
河南梨园频道,http://182.123.211.191:12345/rtp/225.1.4.99:1128
河南武术世界,http://182.123.211.191:12345/rtp/225.1.4.101:1130
CCTV-1高清,http://182.123.211.191:12345/rtp/225.1.4.73:1102
CCTV-2高清,http://182.123.211.191:12345/rtp/225.1.4.74:1103
CCTV-3高清,http://182.123.211.191:12345/rtp/225.1.4.158:1194
CCTV-4高清,http://182.123.211.191:12345/rtp/225.1.5.30:1333
CCTV-5高清,http://182.123.211.191:12345/rtp/225.1.4.159:1195
CCTV-6高清,http://182.123.211.191:12345/rtp/225.1.4.160:1196
CCTV-7高清,http://182.123.211.191:12345/rtp/225.1.4.76:1105
CCTV-8高清,http://182.123.211.191:12345/rtp/225.1.4.161:1197
CCTV-9高清,http://182.123.211.191:12345/rtp/225.1.4.77:1106
CCTV-10高清,http://182.123.211.191:12345/rtp/225.1.4.78:1107
CCTV-11高清,http://182.123.211.191:12345/rtp/225.1.4.215:1268
CCTV-12高清,http://182.123.211.191:12345/rtp/225.1.4.79:1108
CCTV-13高清,http://182.123.211.191:12345/rtp/225.1.4.113:1293
CCTV-14高清,http://182.123.211.191:12345/rtp/225.1.4.80:1109
CCTV-15高清,http://182.123.211.191:12345/rtp/225.1.4.216:1269
CCTV-16高清,http://182.123.211.191:12345/rtp/225.1.5.46:1356
CCTV-17高清,http://182.123.211.191:12345/rtp/225.1.4.226:2506
CCTV-5＋高清,http://182.123.211.191:12345/rtp/225.1.4.75:1104
河南移动电视,http://182.123.211.191:12345/rtp/225.1.5.40:1350
CGTN,http://182.123.211.191:12345/rtp/225.1.4.16:1045
环球购物,http://182.123.211.191:12345/rtp/225.1.4.229:1275
家有购物,http://182.123.211.191:12345/rtp/225.1.4.223:1273
央广购物,http://182.123.211.191:12345/rtp/225.1.4.230:1276
快乐购,http://182.123.211.191:12345/rtp/225.1.4.231:1277
好享购物,http://182.123.211.191:12345/rtp/225.1.4.232:1278
风尚购物,http://182.123.211.191:12345/rtp/225.1.4.233:1279
驻马店新闻综合,http://182.123.211.191:12345/rtp/225.1.4.132:1168
驻马店科教频道,http://182.123.211.191:12345/rtp/225.1.4.133:1169
驻马店公共频道,http://182.123.211.191:12345/rtp/225.1.4.136:1172
西平电视台,http://182.123.211.191:12345/rtp/225.1.5.28:1340
新蔡电视台,http://182.123.211.191:12345/rtp/225.1.5.29:1341
国学频道,http://182.123.211.191:12345/rtp/225.1.4.196:1311
欢腾购物,http://182.123.211.191:12345/rtp/225.1.4.236:1282
湖南卫视高清,http://182.123.211.191:12345/rtp/225.1.4.82:1111
江苏卫视高清,http://182.123.211.191:12345/rtp/225.1.4.83:1112
浙江卫视高清,http://182.123.211.191:12345/rtp/225.1.4.84:1113
北京卫视高清,http://182.123.211.191:12345/rtp/225.1.4.81:1110
东方卫视高清,http://182.123.211.191:12345/rtp/225.1.4.85:1114
天津卫视高清,http://182.123.211.191:12345/rtp/225.1.4.86:1115
山东卫视高清,http://182.123.211.191:12345/rtp/225.1.4.88:1117
安徽卫视高清,http://182.123.211.191:12345/rtp/225.1.4.87:1116
深圳卫视高清,http://182.123.211.191:12345/rtp/225.1.4.90:1119
江西卫视高清,http://182.123.211.191:12345/rtp/225.1.4.139:1305
湖北卫视高清,http://182.123.211.191:12345/rtp/225.1.4.89:1118
四川卫视高清,http://182.123.211.191:12345/rtp/225.1.4.151:1306
黑龙江卫视高清,http://182.123.211.191:12345/rtp/225.1.4.91:1120
云南卫视高清,http://182.123.211.191:12345/rtp/225.1.4.152:1307
贵州卫视高清,http://182.123.211.191:12345/rtp/225.1.4.122:1302
辽宁卫视高清,http://182.123.211.191:12345/rtp/225.1.4.167:1208
东南卫视高清,http://182.123.211.191:12345/rtp/225.1.4.228:1274
重庆卫视高清,http://182.123.211.191:12345/rtp/225.1.4.157:1308
广东卫视高清,http://182.123.211.191:12345/rtp/225.1.4.166:1207
广西卫视,http://182.123.211.191:12345/rtp/225.1.4.31:1060
河北卫视高清,http://182.123.211.191:12345/rtp/225.1.4.123:1304
海南卫视,http://182.123.211.191:12345/rtp/225.1.4.25:1054
吉林卫视高清,http://182.123.211.191:12345/rtp/225.1.4.174:1309
山西卫视,http://182.123.211.191:12345/rtp/225.1.4.38:1067
陕西卫视,http://182.123.211.191:12345/rtp/225.1.4.39:1068
甘肃卫视,http://182.123.211.191:12345/rtp/225.1.4.42:1071
宁夏卫视,http://182.123.211.191:12345/rtp/225.1.4.43:1072
